Player,Predicted_3P%,TEAM
Stephen Curry,0.38491691308645193,GSW
Stephon Castle,0.3496973389887563,SAS
Steven Adams,0.05604822813474802,HOU
Svi Mykhailiuk,0.3591834843126021,UTA
T.J. McConnell,0.2770780026609799,IND
Taj Gibson,0.07583903239683157,CHA
Talen Horton-Tucker,0.34820385884289634,CHI
Tari Eason,0.3540812707246708,HOU
Taurean Prince,0.39716513279980303,MIL
Taylor Hendricks,0.2702480247636947,UTA
Tazé Moore,0.2626275251428479,POR
Terance Mann,0.3795782064042095,ATL
Terrence Shannon Jr.,0.3833696844131832,MIN
Terry Rozier,0.3545616394806724,MIA
Thomas Bryant,0.36441610753585835,IND
Tidjane Salaün,0.30320682578745084,CHA
Tim Hardaway Jr.,0.36075603966539305,DET
Tobias Harris,0.3592131081336904,DET
Tony Bradley,0.985,IND
Torrey Craig,0.40330923795284684,BOS
Tosan Evbuomwan,0.32598003929825486,BKN
Toumani Camara,0.3864493881638588,POR
Trae Young,0.34852702860085844,ATL
Trayce Jackson-Davis,0.05277291869941274,GSW
Tre Jones,0.38146614222225517,CHI
Tre Mann,0.387314217881289,CHA
Trendon Watford,0.323983467942443,BKN
Trentyn Flowers,0.0,LAC
Trevelin Queen,0.26320539253935066,ORL
Trey Alexander,0.2017029282346181,DEN
Trey Jemison III,0.04412515418967705,LAL
Trey Lyles,0.36279003921589686,SAC
Trey Murphy III,0.3866450569785592,NOP
Tristan Thompson,0.10987562153816464,CLE
Tristan Vukcevic,0.3905364483016023,WAS
Tristan da Silva,0.3569016952618655,ORL
Tristen Newton,0.0,MIN
Ty Jerome,0.4125786089375385,CLE
TyTy Washington Jr.,0.19715406701511515,PHX
Tyler Herro,0.384855154760927,MIA
Tyler Kolek,0.32322605551957573,NYK
Tyler Smith,0.3496287756046766,MIL
Tyrese Haliburton,0.40156564829943214,IND
Tyrese Martin,0.3592429157382185,BKN
Tyrese Maxey,0.379632890868021,PHI
Tyus Jones,0.39529275653424734,PHX
